Autor,Titulo,Paginas,Genero,Año,Idioma,Calificaicón
Biografías,Kurt Gödel,162,Biográfico,2024,Español,10
Biografías,Richard Feynman,162,Biográfico,2024,Español,10
Biografías,Emmy Noether,152,Biográfico,2024,Español,7
Arthur Conan Doyle,El Sabueso de los Baskerville,325,Policíaco,2024,Español,8
Arthur Conan Doyle,Estudio en Escarlata,259,Policíaco,2024,Español,9
Arthur Conan Doyle,Escándalo en Bohemia,50,Policíaco,2024,Español,9
Arthur Conan Doyle,La Liga de los Pelirrojos,50,Policíaco,2024,Español,9
Arthur Conan Doyle,Un caso de Identidad,38,Policíaco,2024,Español,6
Arthur Conan Doyle,El Misterio del Valle Boscombe,52,Policíaco,2024,Español,6
Arthur Conan Doyle,Las cinco semillas de naranja,38,Policíaco,2024,Español,6
Arthur Conan Doyle,El Hombre del labio retorcido,49,Policíaco,2024,Español,6
Arthur Conan Doyle,El Carbunclo Azul,42,Policíaco,2024,Español,6
Arthur Conan Doyle,La Banda de Lunares,52,Policíaco,2024,Español,5
Arthur Conan Doyle,El pulgar del Ingeniero,44,Policíaco,2024,Español,6
Arthur Conan Doyle,El Aristócrata Solterón,44,Policíaco,2024,Español,6
Arthur Conan Doyle,La Diadema de Berilos,50,Policíaco,2024,Español,9
Arthur Conan Doyle,La Finca de Copper Beeches,50,Policíaco,2024,Español,9
H.P. Lovecraft,En las Montañas de la Locura,159,Horror Cósmico,2024,Español,10
H.P. Lovecraft,La llamada de Cthulhu,30,Horror Cósmico,2024,Español,8
Cixin Liu,El problema de los 3 cuerpos,418,Ciencia Ficción ,2024,Español,9
J.R.R. Tolkien,La caída de Gondolin,297,Fantasía Épica,2024,Español,9
Frank Herbert,Dune,775,Ciencia Ficción ,2024,Español,10
Frank Herbert,El Mesías de Dune,301,Ciencia Ficción ,2024,Español,9
